,Stock Ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Forward Dividend,Forward Yeild,Ex-Dividend Date,Dividend_yield
33,AXP,116.76,117.55,119.33 x 800,119.34 x 1800,117.49 - 119.38,89.05 - 129.34,3961.0,3448459.0,96.83200000000001,0.99,14.38,8.28,1.72,1.47,2019-07-03,0.20772946859903382
35,AMT,229.09,229.24,228.96 x 800,231.30 x 900,226.70 - 229.59,148.43 - 242.00,1163.0,1699200.0,102.98200000000001,-0.01,69.31,3.31,3.61,1.58,2019-06-18,1.0906344410876132
37,AMP,142.0,143.77,144.34 x 800,144.38 x 1100,143.56 - 145.30,95.69 - 153.91,529880.0,529072576.0,19.088,1.99,10.63,13.58,3.88,2.73,2019-08-02,0.2857142857142857
38,ABC,89.64,88.2,81.84 x 800,91.00 x 1100,84.37 - 89.00,69.36 - 94.75,2303.0,2283439.0,18.082,1.18,19.28,4.49,1.6,1.78,2019-08-16,0.35634743875278396
39,AME,88.35,88.82,88.24 x 800,90.67 x 900,88.03 - 89.33,63.14 - 92.86,2015.0,2163787.0,20.111,1.33,24.78,3.56,0.56,0.63,2019-09-13,0.15730337078651688
40,AMGN,202.72,203.57,202.89 x 1000,202.90 x 1100,200.78 - 203.61,166.30 - 211.90,1612.0,1915942.0,121.195,0.79,16.11,12.6,5.8,2.86,2019-08-14,0.4603174603174603
41,APH,99.0,99.7,100.37 x 900,100.32 x 800,99.38 - 100.52,74.95 - 105.51,1289.0,1415028.0,29.976,1.12,25.73,3.9,1.0,1.01,2019-09-16,0.25641025641025644
42,ADI,109.48,110.19,108.39 x 800,111.11 x 1100,110.00 - 111.48,76.62 - 124.79,1015.0,1135112.0,40.851,1.55,28.2,3.94,2.16,1.97,2019-08-29,0.5482233502538072
45,ANTM,249.4,250.93,253.31 x 900,253.59 x 1000,249.49 - 254.30,227.16 - 317.99,1927.0,1480042.0,64.779,0.87,16.35,15.48,3.2,1.28,2019-09-09,0.20671834625323
48,AIV,54.48,54.42,47.00 x 800,54.89 x 800,54.23 - 54.82,41.98 - 54.82,485455.0,485054995.0,8.227,0.46,9.02,6.07,1.56,2.86,2019-08-15,0.257001647446458
50,AMAT,51.68,52.19,52.64 x 3200,52.76 x 1200,51.99 - 52.71,28.79 - 53.25,5973.0,5510868.0,48.626000000000005,1.63,16.65,3.16,0.84,1.63,2019-11-20,0.26582278481012656
51,APTV,88.96,89.83,89.22 x 800,89.23 x 1200,88.75 - 89.83,58.80 - 91.57,748008.0,748130946.0,22.893,2.27,23.79,3.76,0.88,0.99,2019-08-06,0.23404255319148937
52,ADM,39.64,39.94,40.27 x 1200,40.40 x 1300,39.82 - 40.47,36.45 - 49.75,2118.0,2423823.0,22.383000000000003,1.02,17.4,2.32,1.4,3.53,2019-08-21,0.603448275862069
53,ARNC,27.01,27.13,27.04 x 900,27.33 x 1400,26.95 - 27.36,15.63 - 27.92,2293.0,2199245.0,11.427,1.93,29.17,0.93,0.08,0.29,2019-08-01,0.08602150537634408
56,T,38.47,38.42,38.25 x 2200,38.31 x 1800,38.19 - 38.62,26.80 - 38.75,26023.0,26892412.0,284.223,0.77,16.12,2.37,2.04,5.3,2019-07-09,0.860759493670886
58,ADP,163.54,164.08,162.11 x 800,162.25 x 800,161.30 - 164.49,121.40 - 174.50,1004.0,1901300.0,70.148,0.97,30.92,5.24,3.16,1.93,2019-09-12,0.6030534351145038
63,BLL,74.11,74.36,72.26 x 1000,72.47 x 800,71.75 - 74.36,42.24 - 81.88,1755.0,1152534.0,24.078000000000003,0.52,47.37,1.53,0.6,0.81,2019-08-30,0.39215686274509803
64,BAC,30.35,30.67,30.98 x 34100,30.99 x 45100,30.63 - 31.15,22.66 - 31.17,60954.0,60688553.0,282.47700000000003,1.64,11.43,2.71,0.72,2.37,2019-09-05,0.2656826568265683
65,BAX,87.99,88.48,88.42 x 1400,88.42 x 900,88.36 - 89.10,61.05 - 89.93,1636.0,1327501.0,45.231,1.05,29.6,2.99,0.88,1.0,2019-08-29,0.294314381270903
66,BBT,52.67,53.16,53.00 x 1300,53.99 x 1200,52.96 - 53.49,40.68 - 53.90,4399.0,4724420.0,41.138999999999996,1.22,13.46,3.97,1.8,3.42,2019-08-13,0.4534005037783375
69,BBY,70.52,71.13,71.21 x 1000,71.52 x 800,71.06 - 72.08,47.72 - 78.53,1508.0,1649890.0,19.01,1.67,12.92,5.53,2.0,2.84,2019-09-18,0.3616636528028933
72,HRB,23.28,23.38,23.75 x 4000,23.76 x 3100,23.38 - 23.80,22.96 - 29.62,2916.0,2948020.0,4.675,0.49,11.46,2.07,1.04,4.47,2019-09-12,0.5024154589371981
73,BA,344.0,332.89,331.25 x 1000,331.80 x 2200,324.40 - 334.24,292.47 - 446.01,15374.0,15195589.0,186.291,1.27,37.96,8.72,8.22,2.21,2019-08-08,0.9426605504587156
74,BWA,38.74,39.0,38.97 x 800,38.89 x 1000,38.80 - 39.55,30.71 - 44.78,1283.0,1739007.0,8.202,1.75,10.59,3.68,0.68,1.76,2019-08-30,0.1847826086956522
78,BMY,53.03,53.15,53.21 x 2200,53.38 x 1400,52.56 - 53.37,42.48 - 54.81,12829.0,12252135.0,88.035,0.58,14.01,3.8,1.64,3.09,2019-07-03,0.43157894736842106
79,AVGO,286.73,288.44,288.92 x 800,292.00 x 1100,287.06 - 291.90,208.23 - 323.20,1374.0,1159459.0,114.86399999999999,0.84,40.75,7.11,10.6,3.7,2019-06-21,1.490857946554149
81,CHRW,86.56,87.02,86.80 x 800,86.82 x 800,86.17 - 87.50,77.72 - 94.34,611860.0,611281245.0,11.752,0.74,17.42,4.98,2.0,2.31,2019-09-05,0.4016064257028112
83,COG,17.95,17.89,18.28 x 4000,18.29 x 2200,17.65 - 18.30,16.01 - 27.65,6573.0,6258851.0,7.657,0.49,9.36,1.95,0.36,2.01,2019-08-07,0.18461538461538463
85,CPB,47.56,47.56,47.81 x 800,47.82 x 800,47.56 - 48.20,32.03 - 48.38,1829.0,1204384.0,14.304,0.78,68.51,0.7,1.4,2.94,2019-07-11,2.0
86,COF,89.8,90.71,91.38 x 1300,91.41 x 800,90.57 - 91.72,69.90 - 98.62,1296.0,1384473.0,42.851000000000006,1.33,7.89,11.57,1.6,1.78,2019-08-02,0.13828867761452032
87,CAH,51.54,51.13,49.21 x 900,50.80 x 1000,49.15 - 51.48,41.03 - 58.31,4603.0,4912084.0,14.835,1.66,11.13,4.53,1.92,3.73,2019-09-30,0.42384105960264895
89,CCL,42.79,43.07,42.61 x 1100,43.11 x 900,42.97 - 43.51,39.92 - 62.52,4522.0,4268579.0,30.978,1.23,9.77,4.41,2.0,4.67,2019-11-21,0.4535147392290249
90,CAT,130.71,131.95,132.10 x 800,132.40 x 800,131.50 - 133.45,111.75 - 144.77,4103.0,4015000.0,73.625,1.54,12.3,10.75,4.12,3.15,2019-10-18,0.3832558139534884
93,CBS,36.75,36.91,36.32 x 2900,36.33 x 1800,36.25 - 37.08,36.25 - 59.56,5734.0,5480623.0,13.342,1.02,4.47,8.13,0.72,1.96,2019-09-09,0.08856088560885608
96,CNP,28.64,28.59,28.76 x 1100,28.81 x 1000,28.54 - 28.79,26.74 - 31.42,2913.0,2520729.0,14.399000000000001,0.51,25.41,1.13,1.15,4.02,2019-08-14,1.0176991150442478
98,CERN,67.76,67.92,68.14 x 1800,68.17 x 900,67.73 - 68.40,48.78 - 76.47,1116.0,1956418.0,21.59,0.83,37.66,1.81,0.72,1.06,2019-06-17,0.39779005524861877
99,CF,47.77,48.33,46.49 x 800,46.50 x 1200,46.26 - 48.33,38.90 - 55.15,2518.0,2178579.0,9.999,0.97,23.46,1.98,1.2,2.51,2019-11-14,0.6060606060606061
100,SCHW,39.94,40.53,41.00 x 4000,41.38 x 3200,40.23 - 41.01,34.58 - 49.24,7545.0,7127137.0,54.128,0.95,15.09,2.71,0.68,1.7,2019-08-08,0.2509225092250923
103,CVX,114.74,115.55,116.51 x 800,116.80 x 1000,115.55 - 116.75,100.22 - 127.34,3727.0,3691765.0,220.204,0.84,15.1,7.72,4.76,4.15,2019-08-16,0.616580310880829
105,CB,152.69,153.41,150.85 x 1000,158.47 x 800,152.65 - 153.69,119.54 - 162.44,1206.0,1574306.0,69.71600000000001,0.6,18.79,8.16,3.0,1.96,2019-09-19,0.3676470588235294
106,CHD,73.89,73.89,73.68 x 1100,73.69 x 1000,73.19 - 74.00,57.36 - 80.99,1129.0,1651039.0,18.243,0.03,30.71,2.4,0.91,1.23,2019-08-14,0.3791666666666667
107,CI,166.88,166.95,166.77 x 900,166.83 x 900,165.85 - 168.05,141.95 - 226.61,1696.0,1041334.0,62.963,1.06,14.39,11.59,0.04,0.02,2019-03-08,0.003451251078515962
108,XEC,41.33,41.3,42.50 x 1000,42.64 x 800,40.86 - 42.72,37.19 - 95.62,1106.0,1002990.0,4.178999999999999,1.64,6.92,6.15,0.8,1.94,2019-11-14,0.13008130081300812
111,CSCO,46.71,47.14,47.39 x 2900,47.42 x 1400,46.97 - 47.48,40.25 - 58.26,14455.0,14739382.0,201.18400000000003,1.1,18.16,2.61,1.4,2.99,2019-07-03,0.5363984674329502
112,C,69.74,70.52,71.85 x 1200,71.90 x 1800,70.52 - 71.89,48.42 - 73.08,13075.0,13626701.0,157.091,1.89,9.54,7.53,2.04,2.93,2019-08-02,0.27091633466135456
113,CFG,35.32,35.78,34.26 x 1000,35.65 x 2200,35.47 - 36.11,27.62 - 38.64,4019.0,4471712.0,16.048,1.65,9.41,3.78,1.44,4.11,2019-07-30,0.38095238095238093
114,CTXS,101.52,101.65,103.24 x 2200,103.26 x 3000,101.65 - 103.96,90.28 - 112.27,1886.0,1982159.0,13.508,0.71,27.73,3.72,1.4,1.4,2019-09-05,0.3763440860215053
115,CME,213.17,212.21,204.31 x 800,206.10 x 800,205.79 - 212.81,161.05 - 224.91,1243.0,1255598.0,73.848,-0.13,40.19,5.13,3.0,1.41,2019-09-09,0.5847953216374269
116,CMS,64.01,63.91,63.96 x 800,63.97 x 900,63.42 - 64.07,47.63 - 65.31,1045.0,1848001.0,18.242,0.16,31.18,2.05,1.53,2.39,2019-08-01,0.7463414634146343
117,KO,54.78,54.45,54.15 x 3000,54.23 x 1300,53.68 - 54.56,44.42 - 55.92,12474.0,12064181.0,231.889,0.3,29.94,1.81,1.6,2.92,2019-09-13,0.8839779005524863
118,CTSH,60.64,61.32,60.80 x 900,62.20 x 1800,60.30 - 61.59,56.73 - 74.85,3310.0,3143831.0,33.164,1.07,16.82,3.61,0.8,1.3,2019-08-21,0.221606648199446
119,CL,68.03,68.0,68.25 x 900,68.40 x 800,67.85 - 68.38,57.41 - 76.41,2441.0,2324010.0,58.559,0.78,25.98,2.63,1.72,2.53,2019-07-17,0.6539923954372624
120,CMCSA,45.57,45.89,46.08 x 2900,46.09 x 900,45.81 - 46.22,32.61 - 47.27,10898.0,10634312.0,209.433,0.99,17.6,2.62,0.84,1.84,2019-10-01,0.32061068702290074
121,CMA,65.45,66.19,59.00 x 800,71.80 x 800,65.26 - 66.76,58.54 - 88.96,1317.0,1837410.0,9.568,1.51,8.3,7.9,2.68,4.09,2019-09-12,0.33924050632911396
122,CAG,27.15,27.15,27.50 x 900,27.49 x 1400,27.15 - 27.63,20.22 - 37.60,3065.0,3505854.0,13.245999999999999,1.32,19.06,1.44,0.85,3.13,2019-07-29,0.5902777777777778
123,CXO,62.45,62.26,63.37 x 800,63.40 x 1100,62.21 - 63.98,61.37 - 147.68,1387.0,1793437.0,12.605,1.65,24.33,2.61,0.5,0.79,2019-08-08,0.19157088122605365
124,COP,53.95,54.25,55.96 x 1000,55.99 x 1300,54.08 - 56.11,50.13 - 72.77,6550.0,6646209.0,61.463,0.82,9.03,6.2,1.68,3.11,2019-07-19,0.27096774193548384
125,ED,91.49,91.65,92.54 x 800,94.00 x 800,91.50 - 92.74,73.30 - 94.97,2081.0,2538032.0,30.846999999999998,0.18,22.09,4.2,2.96,3.24,2019-08-13,0.7047619047619047
126,STZ,197.02,196.76,194.98 x 1000,194.91 x 900,194.34 - 196.89,150.37 - 227.35,741590.0,741073006.0,37.332,1.12,48.73,3.99,3.0,1.52,2019-08-12,0.7518796992481203
127,GLW,29.33,29.58,29.88 x 1800,29.89 x 1300,29.55 - 30.13,26.75 - 35.34,4396.0,4874754.0,23.34,1.25,18.69,1.6,0.8,2.73,2019-08-29,0.5
128,COST,302.86,303.0,301.08 x 900,301.05 x 800,300.17 - 303.51,189.51 - 307.34,1395.0,1184757.0,132.372,0.93,36.45,8.26,2.6,0.87,2019-08-29,0.31476997578692495
130,CCI,144.06,144.05,142.97 x 1100,145.00 x 900,141.32 - 144.05,103.21 - 149.47,1539.0,1815875.0,61.511,0.33,72.44,1.98,4.8,3.33,2019-12-12,2.4242424242424243
132,CSX,68.67,68.91,70.70 x 1800,70.71 x 1100,68.91 - 70.80,58.47 - 80.73,7774.0,7298373.0,54.47,1.25,16.88,4.19,0.96,1.4,2019-08-29,0.22911694510739855
133,CMI,170.28,171.64,163.00 x 800,171.61 x 1100,170.70 - 172.86,124.40 - 175.91,896165.0,896282117.0,27.458000000000002,1.38,10.46,16.38,5.24,3.08,2019-11-13,0.31990231990231993
134,CVS,66.16,66.63,65.70 x 800,65.90 x 1100,65.61 - 66.78,51.72 - 82.15,6098.0,6429671.0,85.006,0.99,18.0,3.65,2.0,3.02,2019-07-24,0.547945205479452
135,DHI,53.97,54.16,53.01 x 3200,54.05 x 800,53.08 - 54.36,32.39 - 54.41,4376.0,4268901.0,19.84,1.02,12.77,4.16,0.6,1.11,2019-08-09,0.14423076923076922
136,DHR,138.01,138.69,137.73 x 900,138.81 x 800,137.52 - 138.90,94.59 - 147.33,1296.0,1096239.0,99.334,0.83,40.48,3.41,0.68,0.49,2019-06-27,0.1994134897360704
137,DRI,110.45,110.47,110.24 x 1000,110.25 x 800,110.00 - 111.52,95.83 - 128.41,1000.0,1265317.0,13.668,0.64,19.19,5.74,3.52,3.19,2019-07-09,0.6132404181184669
139,DE,173.92,174.66,174.05 x 900,174.38 x 800,174.00 - 175.72,128.32 - 175.72,1333.0,1981750.0,55.364,1.45,16.9,10.3,3.04,1.75,2019-09-27,0.29514563106796116
140,DAL,53.83,54.19,54.60 x 800,54.94 x 1300,54.10 - 54.98,45.08 - 63.44,6352.0,6132817.0,35.603,1.31,7.72,7.07,1.61,2.99,2019-10-23,0.22772277227722773
141,XRAY,54.9,55.44,54.67 x 900,56.65 x 1000,54.92 - 55.48,33.93 - 59.40,1035.0,1684240.0,12.332,0.71,116.9,0.47,0.4,0.73,2019-09-26,0.8510638297872342
142,DVN,19.8,19.78,20.21 x 1200,20.22 x 3100,19.77 - 20.39,19.77 - 35.39,4895.0,4039814.0,7.9479999999999995,2.32,2.36,8.56,0.36,1.82,2019-09-12,0.04205607476635514
143,DLR,132.98,132.89,134.25 x 800,134.27 x 800,132.39 - 134.41,100.05 - 134.41,820923.0,820236025.0,28.244,0.52,123.13,1.09,4.32,3.31,2019-09-12,3.9633027522935778
144,DFS,78.94,79.68,80.13 x 800,80.44 x 800,79.61 - 80.64,54.36 - 92.98,1723.0,1991409.0,25.506,1.62,9.43,8.53,1.76,2.23,2019-08-21,0.2063305978898007
149,D,82.16,82.27,82.31 x 1100,83.00 x 1100,81.86 - 82.47,67.41 - 82.68,1989.0,1695790.0,66.038,0.25,68.97,1.2,3.67,4.47,2019-09-05,3.0583333333333336
152,DTE,127.34,127.82,128.91 x 800,128.92 x 800,127.37 - 129.25,107.22 - 134.37,963252.0,963080703.0,23.291,0.31,21.32,6.06,3.78,2.97,2019-09-13,0.6237623762376238
153,DUK,95.35,95.16,95.06 x 1000,95.37 x 800,94.66 - 95.40,80.89 - 97.37,1512.0,1683548.0,69.589,0.13,21.09,4.52,3.78,3.96,2019-08-15,0.836283185840708
154,DRE,33.97,33.95,34.23 x 2200,34.23 x 900,33.90 - 34.31,24.67 - 34.44,980999.0,980995514.0,12.405,0.64,53.33,0.64,0.86,2.53,2019-08-14,1.34375
155,DXC,26.44,26.92,27.51 x 1100,27.58 x 1300,26.83 - 27.88,26.02 - 89.10,3564.0,3007625.0,6.829,2.26,6.54,4.21,0.84,3.18,2019-12-03,0.1995249406175772
156,ETFC,40.85,41.08,40.93 x 4000,41.20 x 2200,40.61 - 41.58,34.68 - 54.44,3581.0,3721090.0,9.727,1.17,9.91,4.14,0.56,1.37,2019-08-16,0.1352657004830918
157,EMN,73.09,74.1,73.58 x 900,74.82 x 800,73.28 - 74.31,61.22 - 86.18,945918.0,945092895.0,10.137,1.4,11.33,6.5,2.48,3.39,2019-09-13,0.38153846153846155
158,ETN,82.56,83.0,82.98 x 1400,83.38 x 800,82.96 - 84.04,64.46 - 89.07,1833.0,1341184.0,35.07,1.44,16.26,5.14,2.84,3.44,2019-08-15,0.5525291828793775
159,EBAY,38.82,38.96,39.26 x 900,39.26 x 4000,38.93 - 39.29,26.01 - 42.00,4541.0,4721198.0,32.93,1.22,15.18,2.59,0.56,1.44,2019-08-30,0.21621621621621626
160,ECL,193.82,194.06,191.75 x 800,207.50 x 800,190.79 - 194.50,135.77 - 209.87,1099.0,1010800.0,55.074,0.66,37.42,5.12,1.84,0.95,2019-09-16,0.359375
164,EMR,68.65,69.06,69.44 x 900,69.95 x 800,68.94 - 69.75,55.39 - 73.24,1958.0,1233464.0,43.083,1.48,19.71,3.52,1.96,2.86,2019-08-15,0.5568181818181818
165,ETR,118.15,117.93,118.96 x 800,119.08 x 900,117.91 - 119.16,81.02 - 119.17,1275.0,1279718.0,23.84,0.16,23.4,5.09,3.64,3.08,2019-08-07,0.7151277013752456
167,EOG,64.44,64.4,67.65 x 900,67.61 x 1200,64.33 - 67.73,64.33 - 118.34,5263.0,5162660.0,37.917,1.71,11.0,6.15,1.15,1.78,2019-07-16,0.18699186991869915
171,EQR,88.37,88.11,83.05 x 900,88.59 x 900,87.72 - 88.75,62.78 - 88.75,1258.0,1532964.0,33.135,0.41,44.32,2.0,2.27,2.57,2019-06-27,1.135
173,EL,185.53,185.0,185.24 x 1100,186.22 x 800,184.84 - 187.49,121.47 - 207.50,1958.0,1669593.0,66.289,0.73,38.53,4.82,1.72,0.93,2019-08-29,0.3568464730290456
175,ES,85.6,85.65,86.12 x 900,86.08 x 800,85.32 - 86.19,61.57 - 86.26,1188.0,1599565.0,28.031999999999996,0.24,31.82,2.71,2.14,2.5,2019-05-22,0.7896678966789669
176,EXC,44.67,44.78,44.68 x 1400,44.81 x 1400,44.45 - 44.81,43.02 - 51.18,7404.0,7131375.0,44.036,0.29,19.1,2.34,1.45,3.25,2019-08-14,0.6196581196581197
177,EXPE,136.03,136.91,134.44 x 1400,137.28 x 900,136.16 - 137.63,108.11 - 144.00,680819.0,680573681.0,19.609,0.96,33.55,4.06,1.36,1.0,2019-08-21,0.3349753694581281
181,XOM,67.61,67.82,68.60 x 800,68.79 x 2900,67.82 - 68.77,64.65 - 83.75,9955.0,9946265.0,288.584,1.21,16.56,4.15,3.48,5.15,2019-08-12,0.8385542168674698
184,FAST,35.83,36.1,36.69 x 4000,36.79 x 2200,35.98 - 36.96,24.00 - 36.96,6191.0,6742560.0,21.101,1.63,26.99,1.36,0.88,2.47,2019-10-24,0.6470588235294117
186,FDX,149.91,150.68,152.14 x 3000,152.94 x 2900,150.09 - 154.13,137.78 - 234.49,3282.0,3601534.0,39.461,1.77,89.33,1.7,2.6,1.73,2019-09-06,1.5294117647058825
187,FIS,128.33,128.87,128.94 x 800,129.00 x 800,127.12 - 129.88,94.53 - 141.35,2317.0,2887181.0,77.69800000000001,0.52,56.18,2.29,1.4,1.09,2019-09-12,0.611353711790393
188,FITB,27.33,27.57,27.01 x 3200,28.07 x 2900,27.57 - 28.04,22.12 - 30.20,6070.0,6244117.0,20.326,1.34,9.56,2.93,0.96,3.51,2019-06-27,0.32764505119453924
189,FE,48.38,48.57,48.43 x 2200,48.44 x 1300,48.12 - 48.63,35.33 - 49.07,2674.0,2106973.0,26.336,0.25,104.98,0.46,1.52,3.14,2019-08-06,3.3043478260869565
192,FLS,46.56,46.96,47.40 x 800,47.41 x 900,46.37 - 47.48,35.88 - 55.42,573382.0,573047181.0,6.256,1.89,30.18,1.57,0.76,1.63,2019-09-19,0.4840764331210191
195,FL,44.4,44.97,44.92 x 1400,45.24 x 1400,44.49 - 45.45,33.12 - 68.00,2129.0,2619409.0,4.859,1.59,9.8,4.61,1.52,3.42,2019-10-17,0.32971800433839477
196,F,9.14,9.19,9.02 x 38500,9.03 x 45900,9.01 - 9.24,7.41 - 10.56,31585.0,31891289.0,36.74,0.97,16.72,0.54,0.6,6.46,2019-10-21,1.111111111111111
197,FTV,70.94,71.4,72.02 x 800,72.03 x 1000,71.15 - 72.38,62.89 - 89.48,1665.0,1152321.0,24.142,1.27,9.39,7.66,0.28,0.39,2019-08-29,0.03655352480417755
198,FBHS,58.92,58.67,58.23 x 1200,58.24 x 800,58.03 - 59.39,35.27 - 59.39,2185.0,2207345.0,8.22,1.79,20.39,2.86,0.88,1.49,2019-08-29,0.3076923076923077
199,BEN,27.22,27.49,26.90 x 900,28.47 x 2900,27.38 - 27.77,25.57 - 35.82,2326.0,2277140.0,13.856,1.08,10.11,2.71,1.04,3.82,2019-09-27,0.3837638376383764
200,FCX,9.58,9.8,9.85 x 29200,9.82 x 34100,9.75 - 10.00,8.43 - 14.68,22743.0,22473371.0,14.459000000000001,1.8,14.4,0.68,0.2,2.09,2019-07-12,0.29411764705882354
201,GPS,16.88,17.08,17.33 x 4000,17.33 x 4000,17.01 - 17.48,15.11 - 31.39,6271.0,6545537.0,6.267,0.76,7.07,2.45,0.97,5.75,2019-10-08,0.39591836734693875
202,GRMN,87.46,87.58,87.01 x 900,87.02 x 900,86.79 - 87.75,59.98 - 89.72,583234.0,583062948.0,16.545,1.01,22.44,3.88,2.28,2.61,2019-12-13,0.5876288659793814
204,GD,174.43,175.3,175.02 x 1100,175.70 x 800,174.65 - 176.92,143.87 - 193.76,869836.0,869163704.0,50.01,1.49,15.6,11.25,4.08,2.34,2019-10-10,0.3626666666666667
207,GIS,52.55,52.36,52.55 x 1000,52.56 x 1200,52.19 - 52.74,36.42 - 56.40,1854.0,1503414.0,31.491,0.88,16.94,3.1,1.96,3.73,2019-07-09,0.632258064516129
208,GM,36.17,36.44,35.89 x 2900,35.90 x 900,35.63 - 36.72,30.56 - 41.90,6883.0,6074164.0,51.27,1.25,5.72,6.28,1.52,4.2,2019-09-05,0.24203821656050956
210,GILD,64.91,64.94,64.89 x 2200,65.46 x 1200,64.80 - 65.36,60.32 - 73.70,3897.0,3925082.0,82.586,1.19,14.13,4.61,2.52,3.86,2019-09-12,0.5466377440347071
211,GPN,160.13,161.13,159.53 x 1000,161.14 x 900,159.37 - 161.70,94.81 - 175.95,1032.0,1119479.0,47.49,0.86,52.52,3.07,0.04,0.02,2019-09-12,0.013029315960912053
212,GS,206.52,208.67,209.00 x 800,209.59 x 900,207.68 - 210.86,151.70 - 234.06,1923.0,1376473.0,75.26100000000001,1.34,9.35,22.38,5.0,2.42,2019-11-29,0.22341376228775695
213,GT,15.15,15.39,15.16 x 800,15.15 x 900,15.11 - 15.55,10.74 - 23.95,2424.0,2673229.0,3.525,1.87,7.86,1.93,0.64,4.23,2019-10-31,0.3316062176165803
215,HAL,18.43,18.15,19.61 x 1300,19.60 x 3200,18.10 - 20.00,16.97 - 37.54,27506.0,27841464.0,17.102999999999998,1.75,12.93,1.52,0.72,3.91,2019-09-03,0.47368421052631576
216,HBI,15.23,15.39,15.50 x 4000,15.62 x 800,15.36 - 15.69,11.57 - 19.38,3934.0,3318978.0,5.44,1.48,10.1,1.55,0.6,3.94,2019-08-12,0.3870967741935484
217,HOG,36.57,36.94,35.00 x 800,37.18 x 800,36.92 - 37.31,30.17 - 43.69,2404.0,2889500.0,5.791,1.32,13.73,2.7,1.5,4.1,2019-09-16,0.5555555555555555
